,Title,Director,Actors,Rating,Revenue (Millions),fb_likes,yt_likes_ratio
376,Black Mass,Scott Cooper,"Johnny Depp, Benedict Cumberbatch, Dakota Johnson, Joel Edgerton",6.9,62.56,3999,38.86847599164927
377,Creed,Ryan Coogler,"Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad",7.6,109.71,969443,33.74273858921162
378,Swiss Army Man,Dan Kwan,"Paul Dano, Daniel Radcliffe, Mary Elizabeth Winstead, Antonia Ribero",7.1,4.21,192507,13.588712871287129
379,The Expendables 3,Patrick Hughes,"Sylvester Stallone, Jason Statham, Jet Li, Antonio Banderas",6.1,39.29,8089004,23.37708066581306
380,What We Do in the Shadows,Jemaine Clement,"Jemaine Clement, Taika Waititi,Cori Gonzalez-Macuer, Jonny Brugh",7.6,3.33,174490,28.677103718199607
381,Southpaw,Antoine Fuqua,"Jake Gyllenhaal, Rachel McAdams, Oona Laurence,Forest Whitaker",7.4,52.42,335243,28.192220714608773
382,Hush,Mike Flanagan,"John Gallagher Jr., Kate Siegel, Michael Trucco,Samantha Sloyan",6.6,,519,15.83404255319149
383,Bridge of Spies,Steven Spielberg,"Tom Hanks, Mark Rylance, Alan Alda, Amy Ryan",7.6,72.31,108728,23.38351254480287
384,The Lego Movie,Phil Lord,"Chris Pratt, Will Ferrell, Elizabeth Banks, Will Arnett",7.8,257.76,1952769,15.228654970760234
385,Everest,Baltasar Kormákur,"Jason Clarke, Ang Phula Sherpa, Thomas M. Wright, Martin Henderson",7.1,43.25,303825,36.109022556390975
386,Pixels,Chris Columbus,"Adam Sandler, Kevin James, Michelle Monaghan,Peter Dinklage",5.6,78.75,759396,12.288135593220339
387,Robin Hood,Ridley Scott,"Russell Crowe, Cate Blanchett, Matthew Macfadyen,Max von Sydow",6.7,105.22,75925,13.08433734939759
388,The Wolverine,James Mangold,"Hugh Jackman, Will Yun Lee, Tao Okamoto, Rila Fukushima",6.7,132.55,10940479,18.572151898734177
389,John Carter,Andrew Stanton,"Taylor Kitsch, Lynn Collins, Willem Dafoe,Samantha Morton",6.6,73.06,725864,11.811529933481154
390,Keanu,Peter Atencio,"Keegan-Michael Key, Jordan Peele, Tiffany Haddish,Method Man",6.3,20.57,0,21.81896551724138
391,The Gunman,Pierre Morel,"Sean Penn, Idris Elba, Jasmine Trinca, Javier Bardem",5.8,10.64,104034,10.786749482401657
392,Steve Jobs,Danny Boyle,"Michael Fassbender, Kate Winslet, Seth Rogen, Jeff Daniels",7.2,17.75,473418,13.391405342624855
393,Whisky Galore,Gillies MacKinnon,"Tim Pigott-Smith, Naomi Battrick, Ellie Kendrick,James Cosmo",5.0,,4685,12.2
394,Grown Ups 2,Dennis Dugan,"Adam Sandler, Kevin James, Chris Rock, David Spade",5.4,133.67,8162052,13.262693156732892
395,The Age of Adaline,Lee Toland Krieger,"Blake Lively, Michiel Huisman, Harrison Ford,Kathy Baker",7.2,42.48,623643,46.59219088937093
396,The Incredible Hulk,Louis Leterrier,"Edward Norton, Liv Tyler, Tim Roth, William Hurt",6.8,134.52,11740102,12.126705653021443
397,Couples Retreat,Peter Billingsley,"Vince Vaughn, Malin Akerman, Jon Favreau, Jason Bateman",5.5,109.18,3556,29.746268656716417
398,Absolutely Anything,Terry Jones,"Simon Pegg, Kate Beckinsale, Sanjeev Bhaskar, Rob Riggle",6.0,,5416,12.788671023965142
399,Magic Mike,Steven Soderbergh,"Channing Tatum, Alex Pettyfer, Olivia Munn,Matthew McConaughey",6.1,113.71,2297425,15.457142857142857
400,Minions,Kyle Balda,"Sandra Bullock, Jon Hamm, Michael Keaton, Pierre Coffin",6.4,336.03,34628753,17.6239775648516
401,The Black Room,Rolfe Kanefsky,"Natasha Henstridge, Lukas Hassel, Lin Shaye,Dominique Swain",3.9,,1143,1.5792880258899675
402,Bronson,Nicolas Winding Refn,"Tom Hardy, Kelly Adams, Luing Andrews,Katy Barker",7.1,0.1,130544,17.089285714285715
403,Despicable Me,Pierre Coffin,"Steve Carell, Jason Segel, Russell Brand, Julie Andrews",7.7,251.5,18224741,3.1005172026085
404,The Best of Me,Michael Hoffman,"James Marsden, Michelle Monaghan, Luke Bracey,Liana Liberato",6.7,26.76,1042251,45.513483146067415
405,The Invitation,Karyn Kusama,"Logan Marshall-Green, Emayatzy Corinealdi, Michiel Huisman, Tammy Blanchard",6.7,0.23,2723,7.371830985915493
406,Zero Dark Thirty,Kathryn Bigelow,"Jessica Chastain, Joel Edgerton, Chris Pratt, Mark Strong",7.4,95.72,259885,10.167883211678832
407,Tangled,Nathan Greno,"Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman",7.8,200.81,17346818,4.130346232179226
408,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson",6.6,281.67,21400352,34.66983967935872
409,Vacation,John Francis Daley,"Ed Helms, Christina Applegate, Skyler Gisondo, Steele Stebbins",6.1,58.88,2532058,18.922043010752688
410,Taken,Pierre Morel,"Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser",7.8,145.0,4584691,35.529411764705884
411,Pitch Perfect 2,Elizabeth Banks,"Anna Kendrick, Rebel Wilson, Hailee Steinfeld,Brittany Snow",6.5,183.44,6081417,38.1386593204775
412,Monsters University,Dan Scanlon,"Billy Crystal, John Goodman, Steve Buscemi, Helen Mirren",7.3,268.49,5163018,12.84393063583815
413,Elle,Paul Verhoeven,"Isabelle Huppert, Laurent Lafitte, Anne Consigny,Charles Berling",7.2,,10622,11.783783783783784
414,Mechanic: Resurrection,Dennis Gansel,"Jason Statham, Jessica Alba, Tommy Lee Jones,Michelle Yeoh",5.6,21.2,846768,27.79787234042553
415,Tusk,Kevin Smith,"Justin Long, Michael Parks, Haley Joel Osment,Genesis Rodriguez",5.4,1.82,27576,11.061224489795919
416,The Headhunter's Calling,Mark Williams,"Alison Brie, Gerard Butler, Willem Dafoe, Gretchen Mol",6.9,,0,10.333333333333334
417,Atonement,Joe Wright,"Keira Knightley, James McAvoy, Brenda Blethyn,Saoirse Ronan",7.8,50.92,333266,37.2
418,Harry Potter and the Deathly Hallows: Part 1,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Bill Nighy",7.7,294.98,9090,30.634146341463413
419,Shame,Steve McQueen,"Michael Fassbender, Carey Mulligan, James Badge Dale, Lucy Walters",7.2,4.0,62728,14.8989898989899
420,Hanna,Joe Wright,"Saoirse Ronan, Cate Blanchett, Eric Bana, Vicky Krieps",6.8,40.25,269748,20.329545454545453
421,The Babysitters,David Ross,"Lauren Birkell, Paul Borghese, Chira Cassel, Anthony Cirillo",5.7,0.04,0,4.5131578947368425
422,Pride and Prejudice and Zombies,Burr Steers,"Lily James, Sam Riley, Jack Huston, Bella Heathcote",5.8,10.91,292029,8.225897653378569
423,300: Rise of an Empire,Noam Murro,"Sullivan Stapleton, Eva Green, Lena Headey, Hans Matheson",6.2,106.37,10476627,21.175324675324674
424,London Has Fallen,Babak Najafi,"Gerard Butler, Aaron Eckhart, Morgan Freeman,Angela Bassett",5.9,62.4,645669,11.091167192429022
425,The Curious Case of Benjamin Button,David Fincher,"Brad Pitt, Cate Blanchett, Tilda Swinton, Julia Ormond",7.8,127.49,1542768,46.36363636363637
426,Sin City: A Dame to Kill For,Frank Miller,"Mickey Rourke, Jessica Alba, Josh Brolin, Joseph Gordon-Levitt",6.5,13.75,8898,30.494949494949495
427,The Bourne Ultimatum,Paul Greengrass,"Matt Damon, Edgar Ramírez, Joan Allen, Julia Stiles",8.1,227.14,2561621,22.145833333333332
428,Srpski film,Srdjan Spasojevic,"Srdjan 'Zika' Todorovic, Sergej Trifunovic,Jelena Gavrilovic, Slobodan Bestic",5.2,,2728,3.270661157024793
429,The Purge: Election Year,James DeMonaco,"Frank Grillo, Elizabeth Mitchell, Mykelti Williamson, Joseph Julian Soria",6.0,79.0,151719,15.368567454798331
430,3 Idiots,Rajkumar Hirani,"Aamir Khan, Madhavan, Mona Singh, Sharman Joshi",8.4,6.52,2459831,15.694174757281553
431,Zoolander 2,Ben Stiller,"Ben Stiller, Owen Wilson, Penélope Cruz, Will Ferrell",4.7,28.84,1537427,15.70323434840174
432,World War Z,Marc Forster,"Brad Pitt, Mireille Enos, Daniella Kertesz, James Badge Dale",7.0,202.35,2652554,15.580645161290322
433,Mission: Impossible - Ghost Protocol,Brad Bird,"Tom Cruise, Jeremy Renner, Simon Pegg, Paula Patton",7.4,209.36,3365241,24.26865671641791
434,Let Me Make You a Martyr,Corey Asraf,"Marilyn Manson, Mark Boone Junior, Sam Quartin, Niko Nicotera",6.4,,23196,22.50467289719626
435,Filth,Jon S. Baird,"James McAvoy, Jamie Bell, Eddie Marsan, Imogen Poots",7.1,0.03,57871,22.41567695961995
436,The Longest Ride,George Tillman Jr.,"Scott Eastwood, Britt Robertson, Alan Alda, Jack Huston",7.1,37.43,863189,30.591338582677164
437,The imposible,J.A. Bayona,"Naomi Watts, Ewan McGregor, Tom Holland, Oaklee Pendergast",7.6,19.0,224751,30.66318719554628
438,Kick-Ass 2,Jeff Wadlow,"Aaron Taylor-Johnson, Chloë Grace Moretz,Christopher Mintz-Plasse, Jim Carrey",6.6,28.75,65981,20.609756097560975
439,Folk Hero & Funny Guy,Jeff Grace,"Alex Karpovsky, Wyatt Russell, Meredith Hagner,Melanie Lynskey",5.6,,1082,4.125
440,Oz the Great and Powerful,Sam Raimi,"James Franco, Michelle Williams, Rachel Weisz, Mila Kunis",6.3,234.9,1289591,16.244137931034484
441,Brooklyn,John Crowley,"Saoirse Ronan, Emory Cohen, Domhnall Gleeson,Jim Broadbent",7.5,38.32,63092,83.63583815028902
442,Coraline,Henry Selick,"Dakota Fanning, Teri Hatcher, John Hodgman, Jennifer Saunders",7.7,75.28,4206914,12.968100531657806
443,Blue Valentine,Derek Cianfrance,"Ryan Gosling, Michelle Williams, John Doman,Faith Wladyka",7.4,9.7,341343,18.885714285714286
444,The Thinning,Michael J. Gallagher,"Logan Paul, Peyton List, Lia Marie Johnson,Calum Worthy",6.0,,1976,22.3003069757595
445,Silent Hill,Christophe Gans,"Radha Mitchell, Laurie Holden, Sean Bean,Deborah Kara Unger",6.6,46.98,1578709,25.346820809248555
446,Dredd,Pete Travis,"Karl Urban, Olivia Thirlby, Lena Headey, Rachel Wood",7.1,13.4,482889,9.103503184713375
447,Hunt for the Wilderpeople,Taika Waititi,"Sam Neill, Julian Dennison, Rima Te Wiata, Rachel House",7.9,5.2,96936,31.022556390977442
448,Big Hero 6,Don Hall,"Ryan Potter, Scott Adsit, Jamie Chung,T.J. Miller",7.8,222.49,2430213,23.606687898089174
449,Carrie,Kimberly Peirce,"Chloë Grace Moretz, Julianne Moore, Gabriella Wilde, Portia Doubleday",5.9,35.27,1664408,22.399020807833537
450,Iron Man 2,Jon Favreau,"Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow,Don Cheadle",7.0,312.06,6407754,20.264150943396228
451,Demolition,Jean-Marc Vallée,"Jake Gyllenhaal, Naomi Watts, Chris Cooper,Judah Lewis",7.0,1.82,34272,29.353365384615383
452,Pandorum,Christian Alvart,"Dennis Quaid, Ben Foster, Cam Gigandet, Antje Traue",6.8,10.33,25264,9.724590163934426
453,Olympus Has Fallen,Antoine Fuqua,"Gerard Butler, Aaron Eckhart, Morgan Freeman,Angela Bassett",6.5,98.9,645669,12.95007342143906
454,I Am Number Four,D.J. Caruso,"Alex Pettyfer, Timothy Olyphant, Dianna Agron, Teresa Palmer",6.1,55.09,388309,23.19047619047619
455,Jagten,Thomas Vinterberg,"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse Fogelstrøm",8.3,0.61,489057,25.194805194805195
456,The Proposal,Anne Fletcher,"Sandra Bullock, Ryan Reynolds, Mary Steenburgen,Craig T. Nelson",6.7,163.95,3378631,15.75
457,Get Hard,Etan Cohen,"Will Ferrell, Kevin Hart, Alison Brie, T.I.",6.0,90.35,262396,18.209177592371873
458,Just Go with It,Dennis Dugan,"Adam Sandler, Jennifer Aniston, Brooklyn Decker,Nicole Kidman",6.4,103.03,2910604,18.86948529411765
459,Revolutionary Road,Sam Mendes,"Leonardo DiCaprio, Kate Winslet, Christopher Fitzgerald, Jonathan Roumie",7.3,22.88,11875,0.0
460,The Town,Ben Affleck,"Ben Affleck, Rebecca Hall, Jon Hamm, Jeremy Renner",7.6,92.17,3187,22.914956011730204
461,The Boy,William Brent Bell,"Lauren Cohan, Rupert Evans, James Russell, Jim Norton",6.0,35.79,242391,18.350453172205437
462,Denial,Mick Jackson,"Rachel Weisz, Tom Wilkinson, Timothy Spall, Andrew Scott",6.6,4.07,15692,1.2649738321380113
463,Predestination,Michael Spierig,"Ethan Hawke, Sarah Snook, Noah Taylor, Madeleine West",7.5,,122103,30.225806451612904
464,Goosebumps,Rob Letterman,"Jack Black, Dylan Minnette, Odeya Rush, Ryan Lee",6.3,80.02,445046,24.296296296296298
465,Sherlock Holmes: A Game of Shadows,Guy Ritchie,"Robert Downey Jr., Jude Law, Jared Harris, Rachel McAdams",7.5,186.83,9622284,30.57777777777778
466,Salt,Phillip Noyce,"Angelina Jolie, Liev Schreiber, Chiwetel Ejiofor, Daniel Olbrychski",6.4,118.31,8787,15.223427331887201
467,Enemy,Denis Villeneuve,"Jake Gyllenhaal, Mélanie Laurent, Sarah Gadon,Isabella Rossellini",6.9,1.01,349,19.966906474820142
468,District 9,Neill Blomkamp,"Sharlto Copley, David James, Jason Cope, Nathalie Boltt",8.0,115.65,1183845,21.612244897959183
469,The Other Guys,Adam McKay,"Will Ferrell, Mark Wahlberg, Derek Jeter, Eva Mendes",6.7,119.22,2236212,27.89693593314763
470,American Gangster,Ridley Scott,"Denzel Washington, Russell Crowe, Chiwetel Ejiofor,Josh Brolin",7.8,130.13,1693,28.40909090909091
471,Marie Antoinette,Sofia Coppola,"Kirsten Dunst, Jason Schwartzman, Rip Torn, Judy Davis",6.4,15.96,516,23.271428571428572
472,2012,Roland Emmerich,"John Cusack, Thandie Newton, Chiwetel Ejiofor,Amanda Peet",5.8,166.11,17767089,5.826388888888889
473,Harry Potter and the Half-Blood Prince,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon",7.5,301.96,11937,81.35
474,Argo,Ben Affleck,"Ben Affleck, Bryan Cranston, John Goodman, Alan Arkin",7.7,136.02,1293620,7.109826589595376
475,Eddie the Eagle,Dexter Fletcher,"Taron Egerton, Hugh Jackman, Tom Costello, Jo Hartley",7.4,15.79,72381,47.64942528735632
476,The Lives of Others,Florian Henckel von Donnersmarck,"Ulrich Mühe, Martina Gedeck,Sebastian Koch, Ulrich Tukur",8.5,11.28,118917,11.52
477,Pet,Carles Torrens,"Dominic Monaghan, Ksenia Solo, Jennette McCurdy,Da'Vone McDonald",5.7,,27558,14.357601713062099
478,Paint It Black,Amber Tamblyn,"Alia Shawkat, Nancy Kwan, Annabelle Attanasio,Alfred Molina",8.3,,16360,8.486486486486486
479,Macbeth,Justin Kurzel,"Michael Fassbender, Marion Cotillard, Jack Madigan,Frank Madigan",6.7,,12782,26.19485294117647
480,Forgetting Sarah Marshall,Nicholas Stoller,"Kristen Bell, Jason Segel, Paul Rudd, Mila Kunis",7.2,62.88,520,30.026845637583893
481,The Giver,Phillip Noyce,"Brenton Thwaites, Jeff Bridges, Meryl Streep, Taylor Swift",6.5,45.09,1180,27.024494142705006
482,Triple 9,John Hillcoat,"Casey Affleck, Chiwetel Ejiofor, Anthony Mackie,Aaron Paul",6.3,12.63,114109,19.693032015065913
483,Perfetti sconosciuti,Paolo Genovese,"Giuseppe Battiston, Anna Foglietta, Marco Giallini,Edoardo Leo",7.7,,98672,21.063063063063062
484,Angry Birds,Clay Kaytis,"Jason Sudeikis, Josh Gad, Danny McBride, Maya Rudolph",6.3,107.51,1104397,11.10697032436163
485,Moonrise Kingdom,Wes Anderson,"Jared Gilman, Kara Hayward, Bruce Willis, Bill Murray",7.8,45.51,364180,30.494791666666668
486,Hairspray,Adam Shankman,"John Travolta, Queen Latifah, Nikki Blonsky,Michelle Pfeiffer",6.7,118.82,2341417,38.25396825396825
487,Safe Haven,Lasse Hallström,"Julianne Hough, Josh Duhamel, Cobie Smulders,David Lyons",6.7,71.35,936463,21.04597701149425
488,Focus,Glenn Ficarra,"Will Smith, Margot Robbie, Rodrigo Santoro, Adrian Martinez",6.6,53.85,459958,15.29731417863835
489,Ratatouille,Brad Bird,"Brad Garrett, Lou Romano, Patton Oswalt,Ian Holm",8.0,206.44,14756227,0.0
490,Stake Land,Jim Mickle,"Connor Paolo, Nick Damici, Kelly McGillis, Gregory Jones",6.5,0.02,4633,9.6
491,The Book of Eli,Albert Hughes,"Denzel Washington, Mila Kunis, Ray Stevenson, Gary Oldman",6.9,94.82,1357223,16.320987654320987
492,Cloverfield,Matt Reeves,"Mike Vogel, Jessica Lucas, Lizzy Caplan, T.J. Miller",7.0,80.03,534529,17.681818181818183
493,Point Break,Ericson Core,"Edgar Ramírez, Luke Bracey, Ray Winstone, Teresa Palmer",5.3,28.77,407457,3.275294117647059
494,Under the Skin,Jonathan Glazer,"Scarlett Johansson, Jeremy McWilliams, Lynsey Taylor Mackay, Dougie McConnell",6.3,2.61,94301,7.226130653266332
495,I Am Legend,Francis Lawrence,"Will Smith, Alice Braga, Charlie Tahan, Salli Richardson-Whitfield",7.2,256.39,7800110,36.345238095238095
496,Men in Black 3,Barry Sonnenfeld,"Will Smith, Tommy Lee Jones, Josh Brolin,Jemaine Clement",6.8,179.02,8097855,53.59291338582677
497,Super 8,J.J. Abrams,"Elle Fanning, AJ Michalka, Kyle Chandler, Joel Courtney",7.1,126.98,964302,23.61764705882353
498,Law Abiding Citizen,F. Gary Gray,"Gerard Butler, Jamie Foxx, Leslie Bibb, Colm Meaney",7.4,73.34,1023988,31.508928571428573
499,Up,Pete Docter,"Edward Asner, Jordan Nagai, John Ratzenberger, Christopher Plummer",8.3,292.98,17651652,10.08125
500,Maze Runner: The Scorch Trials,Wes Ball,"Dylan O'Brien, Kaya Scodelario, Thomas Brodie-Sangster,Giancarlo Esposito",6.3,81.69,4202635,54.81231671554252
501,Carol,Todd Haynes,"Cate Blanchett, Rooney Mara, Sarah Paulson, Kyle Chandler",7.2,0.25,27444,9.67524115755627
502,Imperium,Daniel Ragussis,"Daniel Radcliffe, Toni Collette, Tracy Letts, Sam Trammell",6.5,,310,4.635588972431077
503,Youth,Paolo Sorrentino,"Michael Caine, Harvey Keitel, Rachel Weisz, Jane Fonda",7.3,2.7,29783,20.452282157676347
504,Mr. Nobody,Jaco Van Dormael,"Jared Leto, Sarah Polley, Diane Kruger, Linh Dan Pham",7.9,,301595,13.38721136767318
505,City of Tiny Lights,Pete Travis,"Riz Ahmed, Billie Piper, James Floyd, Cush Jumbo",5.7,,0,11.789473684210526
506,Savages,Oliver Stone,"Aaron Taylor-Johnson, Taylor Kitsch, Blake Lively,Benicio Del Toro",6.5,47.31,160838,15.826530612244898
507,(500) Days of Summer,Marc Webb,"Zooey Deschanel, Joseph Gordon-Levitt, Geoffrey Arend, Chloë Grace Moretz",7.7,32.39,2974306,38.528546712802765
508,Movie 43,Elizabeth Banks,"Emma Stone, Stephen Merchant, Richard Gere, Liev Schreiber",4.3,8.83,250095,5.840628507295174
509,Gravity,Alfonso Cuarón,"Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen",7.8,274.08,1219000,9.321739130434782
510,The Boy in the Striped Pyjamas,Mark Herman,"Asa Butterfield, David Thewlis, Rupert Friend, Zac Mattoon O'Brien",7.8,9.03,602383,36.51851851851852
511,Shooter,Antoine Fuqua,"Mark Wahlberg, Michael Peña, Rhona Mitra, Danny Glover",7.2,46.98,1194279,0.0
512,The Happening,M. Night Shyamalan,"Mark Wahlberg, Zooey Deschanel, John Leguizamo, Ashlyn Sanchez",5.0,64.51,47020,11.473684210526315
513,Bone Tomahawk,S. Craig Zahler,"Kurt Russell, Patrick Wilson, Matthew Fox, Richard Jenkins",7.1,66.01,4573,17.95710455764075
514,Magic Mike XXL,Gregory Jacobs,"Channing Tatum, Joe Manganiello, Matt Bomer,Adam Rodriguez",5.7,,27656,16.77467597208375
515,Easy A,Will Gluck,"Emma Stone, Amanda Bynes, Penn Badgley, Dan Byrd",7.1,58.4,5735076,48.98843930635838
516,Exodus: Gods and Kings,Ridley Scott,"Christian Bale, Joel Edgerton, Ben Kingsley, Sigourney Weaver",6.0,65.01,313178,7.965725806451613
517,Chappie,Neill Blomkamp,"Sharlto Copley, Dev Patel, Hugh Jackman,Sigourney Weaver",6.9,31.57,497580,17.44138634046891
518,The Hobbit: The Desolation of Smaug,Peter Jackson,"Ian McKellen, Martin Freeman, Richard Armitage,Ken Stott",7.9,258.36,7343721,33.87814070351759
519,Half of a Yellow Sun,Biyi Bandele,"Chiwetel Ejiofor, Thandie Newton, Anika Noni Rose,Joseph Mawle",6.2,0.05,12451,0.3271794871794872
520,Anthropoid,Sean Ellis,"Jamie Dornan, Cillian Murphy, Brian Caspe, Karel Hermánek Jr.",7.2,2.96,12432,22.02664298401421
521,The Counselor,Ridley Scott,"Michael Fassbender, Penélope Cruz, Cameron Diaz,Javier Bardem",5.3,16.97,203726,15.43728813559322
522,Viking,Andrey Kravchuk,"Anton Adasinsky, Aleksandr Armer, Vilen Babichev, Rostislav Bershauer",4.7,23.05,83029,18.61854103343465
523,Whiskey Tango Foxtrot,Glenn Ficarra,"Tina Fey, Margot Robbie, Martin Freeman, Alfred Molina",6.6,,119741,13.732217573221757
524,Trust,David Schwimmer,"Clive Owen, Catherine Keener, Liana Liberato,Jason Clarke",7.0,0.06,1287,21.492537313432837
525,Birth of the Dragon,George Nolfi,"Billy Magnussen, Terry Chen, Teresa Navarro,Vanessa Ross",3.9,93.05,191128,8.331125827814569
526,Elysium,Neill Blomkamp,"Matt Damon, Jodie Foster, Sharlto Copley, Alice Braga",6.6,,664677,19.981316725978647
527,The Green Inferno,Eli Roth,"Lorenza Izzo, Ariel Levy, Aaron Burns, Kirby Bliss Blanton",5.4,7.19,256587,7.555112881806109
528,Godzilla,Gareth Edwards,"Aaron Taylor-Johnson, Elizabeth Olsen, Bryan Cranston, Ken Watanabe",6.4,200.66,2627925,26.198687568355815
529,The Bourne Legacy,Tony Gilroy,"Jeremy Renner, Rachel Weisz, Edward Norton, Scott Glenn",6.7,113.17,2561622,23.261324041811847
530,A Good Year,Ridley Scott,"Russell Crowe, Abbie Cornish, Albert Finney, Marion Cotillard",6.9,7.46,199,26.333333333333332
531,Friend Request,Simon Verhoeven,"Alycia Debnam-Carey, William Moseley, Connor Paolo, Brit Morgan",5.4,64.03,8253,5.323795898903195
532,Deja Vu,Tony Scott,"Denzel Washington, Paula Patton, Jim Caviezel, Val Kilmer",7.0,,1354,14.5
533,Lucy,Luc Besson,"Scarlett Johansson, Morgan Freeman, Min-sik Choi,Amr Waked",6.4,126.55,2354840,17.175478708202345
534,A Quiet Passion,Terence Davies,"Cynthia Nixon, Jennifer Ehle, Duncan Duff, Keith Carradine",7.2,1.08,937,33.94285714285714
535,Need for Speed,Scott Waugh,"Aaron Paul, Dominic Cooper, Imogen Poots, Scott Mescudi",6.5,43.57,19648743,23.78672150411281
536,Jack Reacher,Christopher McQuarrie,"Tom Cruise, Rosamund Pike, Richard Jenkins, Werner Herzog",7.0,58.68,661410,34.546728971962615
537,The Do-Over,Steven Brill,"Adam Sandler, David Spade, Paula Patton, Kathryn Hahn",5.7,0.54,97312,6.796768707482993
538,True Crimes,Alexandros Avranas,"Jim Carrey, Charlotte Gainsbourg, Marton Csokas, Kati Outinen",7.3,,33924,25.677914110429448
539,American Pastoral,Ewan McGregor,"Ewan McGregor, Jennifer Connelly, Dakota Fanning, Peter Riegert",6.1,,10478,24.318385650224215
540,The Ghost Writer,Roman Polanski,"Ewan McGregor, Pierce Brosnan, Olivia Williams,Jon Bernthal",7.2,15.52,68741,12.181818181818182
541,Limitless,Neil Burger,"Bradley Cooper, Anna Friel, Abbie Cornish, Robert De Niro",7.4,79.24,1497750,26.49462365591398
542,Spectral,Nic Mathieu,"James Badge Dale, Emily Mortimer, Bruce Greenwood,Max Martini",6.3,,73170,32.990338164251206
543,P.S. I Love You,Richard LaGravenese,"Hilary Swank, Gerard Butler, Harry Connick Jr., Lisa Kudrow",7.1,53.68,4830693,32.08791208791209
544,Zipper,Mora Stephens,"Patrick Wilson, Lena Headey, Ray Winstone,Richard Dreyfuss",5.7,,2111,8.384615384615385
545,Midnight Special,Jeff Nichols,"Michael Shannon, Joel Edgerton, Kirsten Dunst, Adam Driver",6.7,3.71,27480,17.32943925233645
546,Don't Think Twice,Mike Birbiglia,"Keegan-Michael Key, Gillian Jacobs, Mike Birbiglia,Chris Gethard",6.8,4.42,24896,9.970297029702971
547,Alice in Wonderland,Tim Burton,"Mia Wasikowska, Johnny Depp, Helena Bonham Carter,Anne Hathaway",6.5,334.19,5524287,18.4283305227656
548,Chuck,Philippe Falardeau,"Elisabeth Moss, Naomi Watts, Ron Perlman, Liev Schreiber",6.8,0.11,7778,17.9375
549,"I, Daniel Blake",Ken Loach,"Dave Johns, Hayley Squires, Sharon Percy, Briana Shann",7.9,,70451,17.314285714285713
550,The Break-Up,Peyton Reed,"Jennifer Aniston, Vince Vaughn, Jon Favreau, Joey Lauren Adams",5.8,118.68,909,26.901785714285715
551,Loving,Jeff Nichols,"Ruth Negga, Joel Edgerton, Will Dalton, Dean Mumford",7.1,7.7,372223,33.96649916247906
552,Fantastic Four,Josh Trank,"Miles Teller, Kate Mara, Michael B. Jordan, Jamie Bell",4.3,56.11,1593205,5.087417702999269
553,The Survivalist,Stephen Fingleton,"Mia Goth, Martin McCann, Barry Ward, Andrew Simpson",6.3,,1997,16.25
554,Colonia,Florian Gallenberger,"Emma Watson, Daniel Brühl, Michael Nyqvist,Richenda Carey",7.1,,3092,30.87935034802784
555,The Boy Next Door,Rob Cohen,"Jennifer Lopez, Ryan Guzman, Kristin Chenoweth, John Corbett",4.6,35.39,462114,16.60708534621578
556,The Gift,Joel Edgerton,"Jason Bateman, Rebecca Hall, Joel Edgerton, Allison Tolman",7.1,43.77,88626,18.822222222222223
557,Dracula Untold,Gary Shore,"Luke Evans, Dominic Cooper, Sarah Gadon, Art Parkinson",6.3,55.94,74590,17.454326923076923
558,In the Heart of the Sea,Ron Howard,"Chris Hemsworth, Cillian Murphy, Brendan Gleeson,Ben Whishaw",6.9,24.99,240841,22.99171270718232
559,Idiocracy,Mike Judge,"Luke Wilson, Maya Rudolph, Dax Shepard, Terry Crews",6.6,0.44,183768,20.36842105263158
560,The Expendables,Sylvester Stallone,"Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren",6.5,102.98,11133855,22.47945205479452
561,Evil Dead,Fede Alvarez,"Jane Levy, Shiloh Fernandez, Jessica Lucas, Lou Taylor Pucci",6.5,54.24,1171437,7.749691738594328
562,Sinister,Scott Derrickson,"Ethan Hawke, Juliet Rylance, James Ransone,Fred Dalton Thompson",6.8,48.06,1635548,18.957377049180327
563,Wreck-It Ralph,Rich Moore,"John C. Reilly, Jack McBrayer, Jane Lynch, Sarah Silverman",7.8,189.41,3189329,19.52346805736636
564,Snow White and the Huntsman,Rupert Sanders,"Kristen Stewart, Chris Hemsworth, Charlize Theron, Sam Claflin",6.1,155.11,4942772,24.278625954198475
565,Pan,Joe Wright,"Levi Miller, Hugh Jackman, Garrett Hedlund, Rooney Mara",5.8,34.96,330997,21.37374461979914
566,Transformers: Dark of the Moon,Michael Bay,"Shia LaBeouf, Rosie Huntington-Whiteley, Tyrese Gibson, Josh Duhamel",6.3,352.36,32947438,21.699144486692017
